state_abbr,state,county,fips,population,obesity,diabetes,inactivity
OK,Oklahoma,Haskell,40061,"11,832",42.2,15.4,36.3
IL,Illinois,Lake,17097,"708,760",32.9,11.2,19.9
KS,Kansas,Atchison,20005,"16,016",37.0,11.2,27.7
AK,Alaska,Anchorage,02020,"286,075",35.0,8.9,19.8
OK,Oklahoma,Seminole,40133,"23,565",45.0,16.1,37.9
WV,West Virginia,Mineral,54057,"26,867",39.3,15.2,30.9
MN,Minnesota,Blue Earth,27013,"70,006",33.8,9.4,23.0
NE,Nebraska,Buffalo,31019,"50,697",37.3,9.6,23.7
VA,Virginia,Albemarle,51003,"115,676",28.2,10.2,19.4
TX,Texas,Hemphill,48211,"3,189",32.7,11.6,25.5
MO,Missouri,Shelby,29205,"5,931",40.3,14.9,34.9
MO,Missouri,Carroll,29033,"8,391",38.6,13.9,33.7
TN,Tennessee,Dyer,47045,"36,498",39.4,14.9,30.5
SD,South Dakota,Minnehaha,46099,"206,930",37.4,10.6,23.3
IA,Iowa,Chickasaw,19037,"11,658",39.4,12.6,27.5
NY,New York,Seneca,36099,"32,349",34.7,11.6,28.4
MN,Minnesota,Faribault,27043,"13,873",37.6,12.8,28.9
NE,Nebraska,Nance,31125,"3,274",41.0,12.7,28.6
OH,Ohio,Mahoning,39099,"225,596",38.6,14.8,28.2
MS,Mississippi,Chickasaw,28017,"16,866",43.3,18.4,38.9
IL,Illinois,Hamilton,17065,"7,911",40.0,13.9,26.8
TX,Texas,Goliad,48175,"7,144",37.0,15.6,30.4
MS,Mississippi,Sunflower,28133,"24,468",48.6,19.3,41.8
FL,Florida,Monroe,12087,"80,614",25.8,13.2,23.8
TX,Texas,Taylor,48441,"146,836",34.3,11.2,26.1
MN,Minnesota,Norman,27107,"6,329",35.6,12.5,26.7
TN,Tennessee,Hancock,47067,"6,956",43.0,20.3,39.0
AR,Arkansas,Grant,05053,"18,383",36.9,12.0,29.6
VA,Virginia,Pittsylvania,51143,"59,571",41.6,17.5,33.3
NM,New Mexico,Santa Fe,35049,"155,956",25.6,12.6,21.4
ME,Maine,Sagadahoc,23023,"37,513",29.6,10.8,22.2
LA,Louisiana,Tensas,22107,"3,764",48.4,25.1,43.1
WI,Wisconsin,Buffalo,55011,"13,419",39.6,12.8,29.9
IN,Indiana,Perry,18123,"19,209",37.6,13.4,25.8
SC,South Carolina,Greenwood,45047,"69,460",36.8,15.4,28.5
AZ,Arizona,Graham,04009,"39,525",36.0,11.4,25.6
SC,South Carolina,Edgefield,45037,"27,607",39.9,16.2,29.0
WV,West Virginia,Hardy,54031,"14,251",41.9,19.0,36.3
OH,Ohio,Pickaway,39129,"61,086",39.8,12.6,29.4
OH,Ohio,Wood,39173,"132,650",37.4,10.7,22.9
MS,Mississippi,Noxubee,28103,"9,914",46.4,21.2,42.1
ND,North Dakota,Rolette,38079,"11,728",50.2,17.9,34.5
MT,Montana,Park,30067,"17,903",30.4,10.5,22.2
UT,Utah,Beaver,49001,"7,233",28.5,9.8,19.3
OH,Ohio,Geauga,39055,"95,407",32.6,12.4,23.2
NH,New Hampshire,Carroll,33003,"52,448",30.7,10.7,20.5
